"","","Total boys and girls (1)","","","","","","","","","","","","","","Total boys and girls (1)"
"","","Boys (1)",".",".",".",".",".",".","Girls (1)",".",".",".",".",".",".","."
"","","All Ages (1)",".",".",".",".",".","All Ages (1)","All Ages (1)",".",".",".",".",".","All Ages (1)","."
"","","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","."
"All Welsh local authorities ","",155,545,765,1055,495,"*",3020,135,445,580,980,450,"*",2595,5615
"All Welsh local authorities ","Isle of Anglesey ","*",15,15,15,"*","*",50,"*",5,10,10,5,"*",35,90
"","Gwynedd ","*",20,35,40,10,"*",110,5,10,20,35,15,"*",80,190
"","Conwy ",5,10,20,25,15,"*",80,5,15,10,30,20,"*",75,155
"","Denbighshire ","*",25,25,30,5,"*",85,5,20,15,30,10,"*",75,160
"","Flintshire ",5,25,35,40,10,"*",115,"*",25,30,40,10,"*",105,220
"","Wrexham ","*",20,30,25,20,"*",100,5,20,20,25,10,"*",80,175
"","Powys ","*","*",15,35,15,"*",70,"*",10,10,30,10,"*",65,135
"","Ceredigion ","*",5,10,15,5,"*",40,"*",5,5,15,5,"*",35,80
"","Pembrokeshire ","*",5,15,25,20,"*",70,"*",5,5,30,5,"*",45,115
"","Carmarthenshire ",10,20,30,60,15,"*",140,"*",15,20,45,15,"*",100,240
"","Swansea ",15,60,80,85,45,"*",280,15,30,70,80,35,"*",230,510
"","Neath Port Talbot ",10,40,80,70,35,"*",235,15,30,45,75,35,"*",195,435
"","Bridgend ",20,35,60,80,25,"*",215,10,35,35,60,40,"*",175,390
"","Vale of Glamorgan ","*",15,20,35,30,"*",100,5,15,15,30,20,"*",85,185
"","Cardiff ",20,70,75,105,80,"*",350,15,45,60,120,65,"*",300,650
"","Rhondda Cynon Taf ",15,75,75,115,40,"*",325,15,70,75,100,40,"*",300,620
"","Merthyr Tydfil ","*",10,20,40,10,"*",80,"*",10,20,35,15,"*",80,165
"","Caerphilly ",5,25,25,60,25,"*",145,5,15,25,45,35,"*",125,270
"","Blaenau Gwent ","*",10,20,30,10,"*",75,"*",10,10,25,10,"*",60,135
"","Torfaen ",10,30,45,60,25,"*",160,5,25,35,45,15,"*",130,290
"","Monmouthshire ",5,10,10,15,10,"*",55,"*",5,10,20,15,"*",55,110
"","Newport ",5,20,35,45,35,"*",135,5,30,30,55,30,"*",150,285


