,,Total boys and girls (1),,,,,,,,,,,,,,Total boys and girls (1)
,,Boys (1),.,.,.,.,.,.,Girls (1),.,.,.,.,.,.,.
,,All Ages (1),.,.,.,.,.,All Ages (1),All Ages (1),.,.,.,.,.,All Ages (1),.
,,Under 1 year (1),1 to 4 years (1),5 to 9 years (1),10 to 15 years (1),16 to 17 years (1),18 and over (1),.,Under 1 year (1),1 to 4 years (1),5 to 9 years (1),10 to 15 years (1),16 to 17 years (1),18 and over (1),.,.
All Welsh local authorities ,,185,655,820,1270,535,5,3475,175,525,655,1110,465,*,2935,6405
All Welsh local authorities ,Isle of Anglesey ,*,20,25,30,10,*,85,*,10,20,20,10,*,60,145
,Gwynedd ,10,20,35,50,20,*,135,5,20,25,35,10,*,90,225
,Conwy ,5,20,25,40,15,*,110,5,15,25,35,25,*,100,210
,Denbighshire ,*,20,20,35,10,*,85,*,15,15,30,10,*,80,165
,Flintshire ,5,20,30,40,15,*,110,*,20,30,40,15,*,105,215
,Wrexham ,5,20,35,45,20,*,130,10,20,35,40,25,*,125,255
,Powys ,*,15,30,45,20,*,115,5,20,15,40,15,*,95,210
,Ceredigion ,*,10,10,15,*,*,35,*,*,5,5,10,*,25,60
,Pembrokeshire ,5,10,20,25,25,*,85,5,5,5,20,15,*,50,135
,Carmarthenshire ,5,10,20,40,30,*,110,10,5,15,35,25,*,85,195
,Swansea ,15,45,65,120,35,*,285,20,35,50,85,45,*,235,520
,Neath Port Talbot ,10,30,50,70,25,*,190,5,15,35,60,20,*,140,330
,Bridgend ,10,40,50,75,35,*,210,15,25,45,60,35,*,175,385
,Vale of Glamorgan ,10,20,25,40,15,*,115,10,30,35,45,15,*,130,245
,Cardiff ,20,95,115,145,70,*,445,25,80,90,130,60,*,385,830
,Rhondda Cynon Taf ,20,85,95,135,40,*,375,20,60,75,105,40,*,300,675
,Merthyr Tydfil ,10,10,15,40,15,*,85,*,15,5,35,15,*,70,155
,Caerphilly ,15,40,45,70,45,*,220,*,30,35,65,25,*,165,385
,Blaenau Gwent ,*,30,35,40,15,*,125,5,20,20,50,15,*,110,235
,Torfaen ,5,40,30,85,20,*,185,10,40,45,70,20,*,180,365
,Monmouthshire ,*,15,20,20,15,*,70,5,10,15,35,*,*,70,140
,Newport ,20,25,30,70,35,*,180,5,25,25,65,25,*,145,325
